title,text
Sate Kambing & Ayam Pak Jogo,"Pertama kali nyobain sate klathak disini rasanya bikin ketagihan, kalau sate kambingnya tusuknya udah dicopot jadi lebih enak makannya. Pelayanan juga cepat, tempatnya kalau didalam penuh asap, tp ada tempat yg diluar/ agak belakang yg gaada asapnya. Utk harga tertera difoto"
Sate Kambing & Ayam Pak Jogo,"Sate kambingnya empuk dan gak bau prengus, tengkleng ,gulai sama tongsengnya gurih gak cuman manis, sate klataknya juga empuk, enak dan cocok untuk saya yg gak bisa makan masakan manis manis.. cuma mau kasih saran aja untuk nasi goreng kambing bisa di perbaiki, soalnya pernah beli rasa dominan manis aja, coba deh bikin gurih legit gitu pasti makin juara,hehehee,, sukses terus buat restonya, pertahankan kualitas makanan ya. Terimakasih 🙏"
Sate Kambing & Ayam Pak Jogo,"Enak, harga terjangkau (2 sate ayam,2 sate kambing, 1 tongseng kambing, 5 nasi, 2 es jeruk, 3 es teh : 209.000,, tempat luas..."
Sate Kambing & Ayam Pak Jogo,"Enak, saya membeli sate kambing dan sate klatak, dagingnya sangat empuk tidak alot, khas sate jogja dengan bumbu kecap tanpa tusuk. Selain sate tersedia opsi lain seperti gule tengkleng, dan nasgor kambing harga standar untuk ukuran sate kambing enak, sekitar 35k per porsi. Parkiran mobil dan motor luas, serta akses untuk disabilitas tersedia"
Sate Kambing & Ayam Pak Jogo,Salah satu warung sate kambing terkenal di kota jogja.. selalu rame pengunjung.
Sate Kambing & Ayam Pak Jogo,"Langganan jajan sate kambing yg lumayan dekat dengan rumah. Menu komplit, rasa lumayan enak dan 'ajeg', harga standar menu kambing, dan parkir lumayan luas.. Mau seramai apapun ga pernah menunggu lama."
Sate Kambing & Ayam Pak Jogo,"Saya pesan nasi goreng ayam, sate ayam dan sate klathak Untuk sate enak, juicy baik ayam dan kambing.. recommended Namun untuk nasi goreng ayam kurang suka, karena tercampur bau nasi goreng kambing. (Pesan nasgor ayam karena tidak suka kambing) Parkiran luas.."
Sate Kambing & Ayam Pak Jogo,"Makanannya lumayan, pegawainya trmasuk banyak. Jadi setiap tamu yang dtg tercover dengan baik. Hanya saja kalau memang kekurangan sendok dan garpu tlg ditambah dalam inventaris. Krn kemarin waktu ke lokasi hanya sekedar minta sendok dan garpu dijawab oleh pegawainya, ""Ada didalam lauknya, tinggal diambil 1 1"" Padahal kami serombongan dan kalau ambil dalam menu yg kami pesan, hampir separuh yang tidak dpt sendok dan garpu. Padahal dalam menu yang disajikan jg ada beberapa yg tdk ada sendok dan garpu. Sepele namun menurut saya sedikit berlebihan, mengingat dalam tempt makan tersebut menyediakan kuah""an jg. Jadi makan yg berkuah menggunakan tangan rasanya gimana ya 😅😅"
Sate Kambing & Ayam Pak Jogo,"Masakannya enak, tekstur dagingnya empuk, Mantap Pokoknya 👍👍👍"
Sate Kambing & Ayam Pak Jogo,"Meja di belakang panas, gak ada kipas"
